trade_date,ts_code,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,raw_open,raw_high,raw_low,raw_close,raw_pre_close,qfq_factor
2023-07-12,002594.SZ,比亚迪,87.43,87.65,85.48,85.8,87.04,-1.24,-1.42,87032.0,2328017075.51,0.75,270.5,271.15,264.66,265.61,269.33,0.32303001
2023-07-13,002594.SZ,比亚迪,86.43,87.1,85.6,86.54,85.8,0.74,0.862471,82753.0,2213414441.05,0.71,267.5,269.5,265.01,267.83,265.61,0.32311541
2023-07-14,002594.SZ,比亚迪,86.53,86.53,85.1,85.4,86.54,-1.14,-1.31731,102722.0,2718639360.54,0.88,267.8,267.8,263.5,264.41,267.83,0.32298325
2023-07-17,002594.SZ,比亚迪,86.26,86.26,84.71,85.43,85.4,0.03,0.035129,78927.0,2086663750.62,0.68,267.0,267.0,262.35,264.49,264.41,0.32299898
2023-07-18,002594.SZ,比亚迪,85.68,86.45,84.1,85.76,85.43,0.33,0.386281,98456.0,2603934532.06,0.85,265.25,267.57,260.5,265.48,264.49,0.32303752
2023-07-19,002594.SZ,比亚迪,85.76,85.9,84.84,85.54,85.76,-0.22,-0.25653,50250.0,1328126186.9,0.43,265.49,265.9,262.74,264.83,265.48,0.32299966
2023-07-20,002594.SZ,比亚迪,85.76,87.1,85.26,85.58,85.54,0.04,0.046762,91271.0,2434017185.02,0.78,265.5,269.5,264.0,264.95,264.83,0.32300434
2023-07-21,002594.SZ,比亚迪,85.26,85.53,84.45,85.37,85.58,-0.21,-0.245384,75287.0,1979318622.2,0.65,264.0,264.8,261.55,264.32,264.95,0.32297972
2023-07-24,002594.SZ,比亚迪,84.27,84.85,83.09,83.1,85.37,-2.27,-2.659014,95950.0,2491708305.58,0.82,261.01,262.77,257.49,257.5,264.32,0.32271845
2023-07-25,002594.SZ,比亚迪,84.82,86.26,84.81,85.46,83.1,2.36,2.839952,173883.0,4604657751.54,1.49,262.68,266.99,262.65,264.59,257.5,0.32299029
2023-07-26,002594.SZ,比亚迪,85.18,85.18,84.13,84.63,85.46,-0.83,-0.971215,65865.0,1723363551.36,0.57,263.76,263.76,260.6,262.09,264.59,0.32290435
2023-07-27,002594.SZ,比亚迪,85.43,85.85,84.2,84.47,84.63,-0.16,-0.189058,112651.0,2962230531.88,0.97,264.5,265.77,260.8,261.63,262.09,0.32286053
